"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"P0: Remove members from company group.","285","test_remove_company_group_members","tests.api","Sat May 23 21:59:34 UTC 2026","passed","Sat May 23 21:59:34 UTC 2026","TestAuthCompanyGroups","test_auth","",""
"","307","test_month_start_final","tests.api","Sat May 23 22:00:02 UTC 2026","passed","Sat May 23 22:00:02 UTC 2026","TestAuthIDPAssessments","test_auth","",""
"GET /auth/universities/{id}/groups/99999/members → 404 or empty.","285","test_p1_list_group_members_nonexistent_group","tests.api","Sat May 23 21:58:38 UTC 2026","passed","Sat May 23 21:58:38 UTC 2026","TestAuthUniversityP1","test_auth","",""
"P1: DELETE /jobs/nonexistent/hard-delete → 404.","283","test_p1_hard_delete_nonexistent","tests.api","Sat May 23 22:01:49 UTC 2026","passed","Sat May 23 22:01:50 UTC 2026","TestJobsP1","test_jobs_endpoints","",""
"","285","test_list_university_group_members","tests.api","Sat May 23 21:58:32 UTC 2026","failed","Sat May 23 21:58:32 UTC 2026","TestAuthUniversity","test_auth","",""
"P0: GET /v1/profiles/{user_id}/avatar.","294","test_get_profile_avatar","tests.api","Sat May 23 22:02:18 UTC 2026","passed","Sat May 23 22:02:18 UTC 2026","TestMentorshipNewEndpoints","test_mentorship","",""
"","287","test_add_group_member","tests.api","Sat May 23 21:59:52 UTC 2026","passed","Sat May 23 21:59:53 UTC 2026","TestAuthCompanyGroupsCRUD","test_auth","",""
"","308","test_create_module","tests.api","Sat May 23 22:00:43 UTC 2026","passed","Sat May 23 22:00:43 UTC 2026","TestCoursesModules","test_courses","",""
"P1: DELETE /companies/nonexistent → 404.","284","test_p1_delete_company_nonexistent","tests.api","Sat May 23 22:01:48 UTC 2026","passed","Sat May 23 22:01:48 UTC 2026","TestJobsP1","test_jobs_endpoints","",""
"","286","test_add_role_to_user","tests.api","Sat May 23 21:58:24 UTC 2026","passed","Sat May 23 21:58:24 UTC 2026","TestAuthProtected","test_auth","",""
"P0: Get current subscription.","293","test_get_my_subscription","tests.api","Sat May 23 22:00:24 UTC 2026","passed","Sat May 23 22:00:24 UTC 2026","TestBillingSubscriptions","test_billing","",""
"","347","test_p1_university_no_auth","tests.api","Sat May 23 22:00:16 UTC 2026","passed","Sat May 23 22:00:16 UTC 2026","TestAuthNewP1","test_auth","",""
"","351","test_enroll_in_course","tests.api","Sat May 23 22:00:46 UTC 2026","passed","Sat May 23 22:00:46 UTC 2026","TestCoursesEnrollments","test_courses","",""
"","302","test_p1_start_assessment_nonexistent","tests.api","Sat May 23 22:11:31 UTC 2026","passed","Sat May 23 22:11:32 UTC 2026","TestQuizP1","test_quiz","",""
"","304","test_p1_submit_review_invalid_rating","tests.api","Sat May 23 22:00:50 UTC 2026","passed","Sat May 23 22:00:50 UTC 2026","TestCoursesReviewsP1","test_courses","",""
"POST /auth/api/jd/ingest/json without token → 401/403.","348","test_p1_ingest_jd_structured_no_auth","tests.api","Sat May 23 21:58:41 UTC 2026","passed","Sat May 23 21:58:42 UTC 2026","TestAuthUniversityP1","test_auth","",""
"POST /auth/api/shortlist with non-existent jd_id → 404 or empty.","287","test_p1_shortlist_nonexistent_jd","tests.api","Sat May 23 21:58:42 UTC 2026","passed","Sat May 23 21:58:42 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","296","test_update_company","tests.api","Sat May 23 22:01:39 UTC 2026","passed","Sat May 23 22:01:39 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"P1: POST /v1/mentors/99999/subscribe → 404.","295","test_p1_subscribe_nonexistent_mentor","tests.api","Sat May 23 22:02:19 UTC 2026","passed","Sat May 23 22:02:20 UTC 2026","TestMentorshipNewEndpointsP1","test_mentorship","",""
"","1162","test_p1_flag_review_no_auth","tests.api","Sat May 23 22:00:51 UTC 2026","passed","Sat May 23 22:00:52 UTC 2026","TestCoursesReviewsP1","test_courses","",""
"","304","test_reject_invite","tests.api","Sat May 23 21:59:54 UTC 2026","passed","Sat May 23 21:59:54 UTC 2026","TestAuthCompanyExtended","test_auth","",""
"P0: Root endpoint returns 200.","351","test_root","tests.api","Sat May 23 22:01:55 UTC 2026","passed","Sat May 23 22:01:55 UTC 2026","TestMentorshipHealth","test_mentorship","",""
"GET /api/shortlist/99999/enhanced → 404 or empty.","285","test_p1_enhanced_shortlist_nonexistent_jd","tests.api","Sat May 23 21:59:40 UTC 2026","passed","Sat May 23 21:59:40 UTC 2026","TestAuthShortlistEnhanced","test_auth","",""
"","310","test_verify_email","tests.api","Sat May 23 21:58:21 UTC 2026","passed","Sat May 23 21:58:21 UTC 2026","TestAuthOther","test_auth","",""
"","282","test_list_admin_requests","tests.api","Sat May 23 21:59:58 UTC 2026","passed","Sat May 23 21:59:59 UTC 2026","TestAuthClassrooms","test_auth","",""
"","3831","test_download_report","tests.api","Sat May 23 22:10:44 UTC 2026","failed","Sat May 23 22:10:48 UTC 2026","TestQuizAPIs","test_quiz","",""
"P1: DELETE /me/mentor/availability/99999 → 404 or 403.","295","test_p1_delete_availability_nonexistent","tests.api","Sat May 23 22:02:06 UTC 2026","passed","Sat May 23 22:02:07 UTC 2026","TestMentorshipAvailability","test_mentorship","",""
"","585","test_p1_run_migration_admin_unauthorized","tests.api","Sat May 23 22:11:42 UTC 2026","passed","Sat May 23 22:11:43 UTC 2026","TestQuizP1","test_quiz","",""
