"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","224","test_delete_job","tests.api","Sun May 17 16:05:57 UTC 2026","passed","Sun May 17 16:05:58 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"","213","test_healthz","tests.api","Sun May 17 16:15:03 UTC 2026","passed","Sun May 17 16:15:03 UTC 2026","TestQuizAPIs","test_quiz","",""
"POST /auth/api/interview/schedule with empty body → 404/422.","218","test_p1_schedule_interview_empty_payload","tests.api","Sun May 17 16:02:42 UTC 2026","passed","Sun May 17 16:02:42 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","222","test_end_assessment","tests.api","Sun May 17 16:15:12 UTC 2026","passed","Sun May 17 16:15:12 UTC 2026","TestQuizAPIs","test_quiz","",""
"","0","test_admin_flag_review","tests.api","Sun May 17 16:05:03 UTC 2026","skipped","Sun May 17 16:05:03 UTC 2026","TestCoursesAdmin","test_courses","",""
"","223","test_delete_assessment_p0","tests.api","Sun May 17 16:15:12 UTC 2026","passed","Sun May 17 16:15:12 UTC 2026","TestQuizAPIs","test_quiz","",""
"","430","test_delete_jd","tests.api","Sun May 17 16:04:05 UTC 2026","passed","Sun May 17 16:04:06 UTC 2026","TestAuthJDNewMethods","test_auth","",""
"","435","test_list_groups","tests.api","Sun May 17 16:04:14 UTC 2026","passed","Sun May 17 16:04:14 UTC 2026","TestAuthUniversities","test_auth","",""
"","429","test_create_assessment_session_p0","tests.api","Sun May 17 16:16:02 UTC 2026","passed","Sun May 17 16:16:02 UTC 2026","TestQuizAPIs","test_quiz","",""
"P0: Superadmin approves/rejects an add-user request.","215","test_process_add_user_request","tests.api","Sun May 17 16:03:37 UTC 2026","failed","Sun May 17 16:03:37 UTC 2026","TestAuthAddUserRequests","test_auth","",""
"","1383","test_ingest_a_jd_from_a_structured_json","tests.api","Sun May 17 16:02:30 UTC 2026","passed","Sun May 17 16:02:32 UTC 2026","TestAuthUniversity","test_auth","",""
"","570","test_p1_generate_mcq_empty","tests.api","Sun May 17 16:16:20 UTC 2026","passed","Sun May 17 16:16:20 UTC 2026","TestQuizP1","test_quiz","",""
"P1: POST /idp/generate-roadmap without required role → 422.","217","test_p1_idp_generate_roadmap_missing_role","tests.api","Sun May 17 16:03:34 UTC 2026","passed","Sun May 17 16:03:35 UTC 2026","TestAuthIDPP1","test_auth","",""
"","314","test_get_enrollment_progress","tests.api","Sun May 17 16:04:54 UTC 2026","passed","Sun May 17 16:04:54 UTC 2026","TestCoursesEnrollments","test_courses","",""
"","266","test_p1_del_user_no_auth","tests.api","Sun May 17 16:04:25 UTC 2026","passed","Sun May 17 16:04:25 UTC 2026","TestAuthNewP1","test_auth","",""
"","317","test_get_idp_assessment","tests.api","Sun May 17 16:04:09 UTC 2026","passed","Sun May 17 16:04:10 UTC 2026","TestAuthIDPAssessments","test_auth","",""
"P1: POST /v1/analyze/session/final-score with empty body → 422.","229","test_p1_final_score_empty","tests.api","Sun May 17 16:05:52 UTC 2026","passed","Sun May 17 16:05:52 UTC 2026","TestInterviewNewEndpointsP1","test_interview","",""
"","226","test_get_user_recommendations","tests.api","Sun May 17 16:05:44 UTC 2026","passed","Sun May 17 16:05:44 UTC 2026","TestAIInterview","test_interview","",""
